Ctip Ctail W Al M RMSD
185 1 0.0573276 -14.8875 0.171243 -0.00106184 5.17017
186 1 0.0345037 -15.65 0.170753 -0.00125951 3.61471
187 1 0.0524922 -14.7015 0.158446 -0.00125576 2.85817
188 1 0.0617142 -13.9086 0.152532 -0.00120231 4.43383
189 1 0.050437 -16.1344 0.137606 -0.00111966 4.44585
190 1 0.0703055 -13.2239 0.155256 -0.00119204 4.56585
191 1 0.0639253 -12.7044 0.180972 -0.000960658 4.91153
192 1 0.0714364 -14.806 0.140923 -0.00119622 4.14451
193 1 0.0825441 -13.4704 0.14083 -0.00119674 2.92924
194 1 0.0509892 -17.0609 0.134414 -0.00133617 3.06436
195 1 0.0489478 -15.771 0.158641 -0.00118132 3.27897
196 1 0.0434494 -15.1584 0.154193 -0.0012383 3.30826
197 1 0.0573853 -18.6125 0.119662 -0.00139141 3.72017
198 1 0.0666046 -15.7265 0.132662 -0.00118239 3.37618
199 1 0.0339503 -18.6657 0.12162 -0.00141202 3.35912
200 1 0.047129 -15.0689 0.171077 -0.00102923 3.42115
201 1 0.0683559 -13.1001 0.188428 -0.00106371 5.51324
202 1 0.0750704 -12.9282 0.188581 -0.00101479 6.08785
203 1 0.0713018 -13.2119 0.190974 -0.00095808 6.56888
204 1 0.0494412 -14.69 0.160885 -0.00134136 4.72275
205 1 0.0383846 -16.258 0.14766 -0.00137647 2.92548
206 1 0.0706005 -14.9971 0.134591 -0.00119041 2.74092
207 1 0.0511272 -17.9314 0.143213 -0.00129711 2.58346
208 1 0.0496626 -19.3388 0.119448 -0.00143599 3.20335
209 1 0.0894031 -18.921 0.0941058 -0.00142299 3.71022
210 1 0.0796639 -13.6885 0.149356 -0.00105602 3.9372
211 1 0.0654434 -14.1287 0.129612 -0.00116869 4.41544
212 1 0.0705855 -14.187 0.128333 -0.00117046 4.03683
213 1 0.0741602 -15.5103 0.108774 -0.00131428 4.20497
214 1 0.0671661 -18.1072 0.104628 -0.0013114 4.10956
215 1 0.0702951 -13.4965 0.139594 -0.000950685 4.86525
216 1 0.093127 -10.7695 0.167664 -0.000891939 4.96665
217 1 0.0569154 -12.6243 0.188638 -0.000917927 4.69349
218 1 0.0242455 -18.4526 0.145274 -0.00122921 4.08787
219 1 0.0667603 -16.8796 0.116175 -0.00123828 4.33647
220 1 0.0972629 -11.3429 0.137626 -0.00118001 4.46172
221 1 0.0707389 -12.3355 0.164273 -0.00104707 2.62336
222 1 0.074939 -13.6883 0.146704 -0.00102318 3.3374
223 1 0.0537998 -14.1841 0.161611 -0.00102445 4.2865
224 1 0.0641894 -12.6103 0.16221 -0.00100828 3.51433
225 1 0.0731241 -14.5505 0.124022 -0.00120963 3.0453
226 1 0.0731735 -12.2753 0.164641 -0.000925917 2.66226
227 1 0.0897188 -13.2868 0.110179 -0.00123968 3.30861
228 1 0.0581806 -16.5273 0.144671 -0.00109313 3.41314
