Ctip Ctail W RMSD
232 1.6691 0.101245 -24.1293 2.25051
233 1.38597 0.0740915 -23.07 2.96512
234 4.51227 0.123045 -22.0044 3.80644
235 1.97735 0.085734 -24.7736 3.10839
236 1.83982 0.098112 -23.735 2.09689
237 7.16314 0.137427 -21.5378 3.12253
238 1.93083 0.0844724 -23.0797 1.66046
239 1.69109 0.0750892 -24.6016 3.05762
240 1.75854 0.0940618 -25.377 4.16107
241 1.69838 0.0940431 -24.365 3.86065
242 1.86221 0.0941253 -23.3947 1.99908
243 1.95159 0.102063 -24.9839 3.84576
244 10 0.15822 -22.2745 4.43719
245 1.63822 0.0882034 -25.3363 1.86996
246 2.04999 0.0932993 -23.5723 1.23287
247 1.88985 0.0998369 -23.183 0.773961
248 1.69407 0.0673736 -22.8932 2.82749
249 10 0.151086 -23.1041 3.54777
250 1.68724 0.0796013 -24.6903 1.65656
251 1.83908 0.0923693 -23.3649 1.33601
252 1.86323 0.0984217 -22.4269 0.39186
253 8.50193 0.148515 -23.2605 4.27404
254 1.45454 0.083995 -22.8462 1.25776
255 1.55447 0.078867 -24.0696 1.41746
256 2.09878 0.108815 -23.1963 3.12786
257 1.55992 0.0819094 -21.8023 1.38321
258 1.68046 0.0956439 -22.6922 2.45394
259 2.00546 0.0916823 -23.135 3.3698
260 10 0.153204 -20.1396 3.85699
261 1.66278 0.0783257 -23.8135 1.81081
262 10 0.129548 -21.8313 4.43601
263 2.35133 0.117626 -19.9471 2.30486
264 1.47073 0.0953912 -21.6103 1.34621
265 1.48643 0.0797597 -23.4179 1.31113
266 10 0.164107 -22.0786 5.12391
267 1.84691 0.0884516 -24.0775 3.65616
268 4.57545 0.132516 -19.7816 3.02493
269 2.90789 0.105521 -20.6619 2.31482
270 1.81983 0.091566 -24.6196 2.94826
271 1.87294 0.0920657 -22.4379 2.53062
272 10 0.162336 -21.7234 6.02391
273 1.76426 0.0816696 -23.3746 2.57293
274 1.8492 0.11174 -23.5315 3.41228
275 1.64593 0.0882514 -22.6651 2.97186
276 1.43866 0.0881973 -20.5465 2.87727
277 1.61517 0.0822206 -22.8237 2.81379
278 1.49765 0.07938 -22.5281 2.81705
279 1.51488 0.0852888 -21.7726 2.96881
280 1.65998 0.0818549 -22.9306 2.29714
281 1.60565 0.0866169 -23.8335 1.73303
282 1.85999 0.0937412 -22.8825 1.86839
283 1.19289 0.0831582 -20.8266 2.68357
284 1.52163 0.0832304 -21.8668 2.59562
285 1.63094 0.0786264 -24.7285 3.95108
286 1.4156 0.063453 -23.7455 3.12564
287 1.34614 0.0715663 -23.3751 2.89127
288 1.47708 0.0768033 -23.1077 3.0948
289 1.63277 0.0893504 -23.1564 1.30326
290 1.53023 0.0684005 -21.1935 3.39193
291 8.55167 0.142626 -20.7178 4.40938
292 1.33199 0.0775749 -23.2719 3.51122
293 1.70502 0.083419 -22.547 2.3573
294 1.65621 0.088382 -20.8231 1.17693
295 8.06656 0.159154 -19.4562 5.42665
296 1.76316 0.101052 -20.6348 1.69605
297 6.69752 0.135301 -19.9084 2.08914
298 1.41712 0.09691 -19.96 2.06276
299 6.18104 0.155319 -18.9058 4.43953
300 1.5332 0.0854173 -23.7853 2.93731
301 4.62312 0.119168 -19.7525 3.70212
302 1.59008 0.0876575 -23.9369 3.66391
303 2.1879 0.110957 -20.8821 1.36305
304 1.87247 0.107715 -25.1136 4.01783
305 1.83542 0.103316 -24.3892 3.52183
306 1.59888 0.0817689 -21.2651 2.21339
