Ctip Ctail W Al s(1) s(2) s(3) s(4) RMSD
108 1 0.0496141 -16.8279 0.362172 6.26075 4.52922 3.40449 2.07885 3.83245
109 1 0.068376 -5.38011 1 10.1201 7.18149 4.48732 2.49934 3.99116
110 1 0.0677617 -5.2727 1 10.5323 7.923 4.92902 2.95137 4.27862
111 1 0.01 -24.1913 0.313473 6.47538 3.57143 2.18217 1.52214 6.4619
112 1 0.0481864 -17.2155 0.420858 7.32144 4.0683 2.39681 1.71885 5.48266
113 1 0.0411342 -17.9854 0.401481 7.29022 3.92792 2.42493 1.68462 5.50103
114 1 0.043401 -18.6721 0.372334 5.833 4.18388 2.44189 1.54041 5.01135
115 1 0.0631591 -13.5974 0.439478 6.46626 4.19854 3.07417 2.10966 3.35207
116 1 0.0409966 -20.1854 0.358195 6.95115 4.03036 2.31637 1.53346 5.64656
117 1 0.0534747 -15.8881 0.512781 11.0405 5.88994 3.26283 2.22611 5.10351
118 1 0.0529702 -17.0845 0.360056 6.70033 4.28254 2.61388 1.72182 3.99796
119 1 0.0572767 -16.3264 0.373485 6.76744 4.07495 2.70961 1.76638 4.01017
120 1 0.0444622 -19.6447 0.373925 6.67494 4.63173 2.71718 1.74867 5.22103
121 1 0.0382315 -21.0148 0.338908 6.0732 4.26342 2.45606 1.47801 5.8972
122 1 0.0312153 -19.3285 0.359885 6.80402 3.92067 2.75308 1.7906 4.48289
123 1 0.0476064 -20.0123 0.352856 6.26844 4.35417 2.62374 1.5664 6.35988
124 1 0.0652591 -5.85275 1 11.122 7.47795 4.98444 2.75874 4.35598
125 1 0.0428894 -15.9785 0.559753 14.9768 6.67617 3.5743 2.17338 6.16357
126 1 0.0771213 -6.42793 1 11.7957 7.47029 4.08607 2.57318 4.96002
127 1 0.0369235 -21.0379 0.33694 6.46115 3.88108 2.23706 1.42877 5.67099
128 1 0.0469798 -18.0348 0.358602 7.30912 3.81743 2.76802 1.78595 5.24176
129 1 0.0788387 -5.40111 1 9.47436 6.94722 4.14851 2.3469 5.32983
130 1 0.0587817 -16.7695 0.355099 6.17031 4.31355 2.97336 1.67817 5.49246
131 1 0.0575691 -14.5718 0.384983 6.60144 3.9978 3.36485 2.05461 3.89817
132 1 0.051946 -17.7137 0.355791 6.46207 4.20105 2.97249 1.73855 4.41484
133 1 0.043175 -20.3673 0.327859 6.72007 4.05251 2.55155 1.48435 5.531
134 1 0.0491096 -15.9399 0.371284 6.63229 3.98634 3.38606 2.04961 3.74852
135 1 0.0532127 -16.2482 0.371182 6.49116 4.08037 2.81892 1.80249 3.58736
136 1 0.0534099 -16.6765 0.354238 6.45539 4.05997 2.77311 1.7442 3.78692
137 1 0.0740502 -5.78425 1 11.6687 7.06714 4.51673 2.60039 3.32654
138 1 0.0713206 -17.9557 0.363662 7.75998 4.69449 2.67904 1.69047 6.42547
139 1 0.0555484 -15.6887 0.394268 5.66799 4.49454 3.2855 1.91631 3.73035
140 1 0.0470764 -17.7977 0.383735 7.49448 4.22642 3.10159 2.12606 4.21138
141 1 0.0413153 -16.2381 0.380566 7.21195 3.98352 3.44306 2.31199 3.84213
142 1 0.0380159 -16.9816 0.362672 5.5129 4.20824 3.40877 1.84799 4.23131
143 1 0.0255243 -22.3814 0.303281 5.69239 3.93697 2.52043 1.422 5.39373
144 1 0.0722526 -6.02175 1 10.7479 8.1817 5.51506 2.95166 3.19178
145 1 0.0335281 -17.8742 0.368154 6.05937 4.14222 2.99592 1.8831 4.02212
146 1 0.118794 -2.22045e-014 1 5.07598 3.0078 2.07975 1.84235 5.94826
147 1 0.0587552 -16.2211 0.376255 6.62872 4.47984 2.90779 1.99794 4.49833
148 1 0.0544183 -17.4631 0.366372 5.93164 4.25141 3.00278 1.72634 4.72313
149 1 0.0261151 -20.7964 0.324011 6.06966 3.67012 2.32782 1.50714 4.92426
150 1 0.0463822 -16.5464 0.354868 6.36884 4.01416 2.84535 1.84604 3.84741
151 1 0.01 -24.814 0.288652 6.88924 3.4209 1.93755 1.3789 5.48966
152 1 0.0639669 -5.37837 1 9.03265 7.1586 4.76963 2.26197 3.9701
153 1 0.0487769 -18.2964 0.35769 5.79208 4.85018 3.00488 1.80521 4.78164
154 1 0.0461438 -17.5055 0.376865 5.7674 4.17498 3.40978 1.89098 4.73855
155 1 0.052198 -19.3354 0.338417 7.39908 4.34812 2.70774 1.61913 5.23486
156 1 0.0418567 -19.3083 0.369307 7.12039 4.32504 3.01869 1.9288 4.7915
157 1 0.0466806 -18.0635 0.334739 6.66426 4.0071 3.20839 1.80221 4.42363
158 1 0.0377905 -18.5818 0.319366 5.14198 4.29341 3.11496 1.58829 5.12006
159 1 0.0456947 -18.1599 0.350158 6.38696 4.41367 3.59822 1.962 4.51607
160 1 0.0484299 -18.8765 0.340951 6.69763 4.68391 3.23532 1.85368 4.94299
161 1 0.0389887 -19.0976 0.331575 6.47398 4.25733 3.30034 1.84209 4.47271
162 1 0.0406476 -21.7155 0.337536 7.49502 4.66978 2.83749 1.67672 6.32872
163 1 0.0535878 -17.9148 0.34922 6.50372 4.24048 2.92231 1.74406 4.7766
164 1 0.031042 -20.1872 0.31383 6.0597 3.97831 2.76011 1.59139 4.48844
165 1 0.0494648 -15.6021 0.37387 6.29491 4.33511 3.60087 2.2266 3.36092
166 1 0.0396593 -18.3537 0.352049 6.05315 4.69007 3.23667 1.96574 4.1832
167 1 0.040922 -19.6809 0.347216 6.34023 4.26287 3.24443 1.82238 5.64657
168 1 0.0574403 -5.87085 1 11.1257 7.63902 5.89952 3.03197 4.55884
169 1 0.0492842 -21.3111 0.345042 9.589 4.60946 2.62073 1.52888 8.43091
170 1 0.0489609 -18.3877 0.362547 6.55679 4.19641 2.90087 1.78848 5.11069
171 1 0.0311034 -17.4734 0.422287 8.09624 5.09227 3.44867 2.34852 4.98752
172 1 0.0367399 -23.3869 0.316408 7.5056 4.2647 2.64255 1.46235 8.00083
173 1 0.021847 -20.4165 0.333651 7.37307 3.83037 2.54923 1.86193 5.24813
174 1 0.0726072 -6.08688 1 10.5469 7.93176 5.69948 2.99821 4.48908
175 1 0.0802573 -5.55007 1 9.80283 7.97224 4.63657 2.73103 5.28711
176 1 0.0620951 -5.98608 1 10.9564 7.77225 5.77588 3.01056 4.8314
177 1 0.0336012 -18.7611 0.351803 6.34271 4.46477 3.30801 2.11407 4.60468
178 1 0.0786903 -5.52013 1 9.572 6.60641 4.19804 2.3137 5.89024
179 1 0.01 -22.2613 0.30784 6.94607 3.88156 2.43856 1.81673 4.92044
180 1 0.0427878 -17.6231 0.36854 5.97672 3.69495 2.54645 1.519 4.3466
181 1 0.056765 -16.584 0.380818 7.13417 4.41685 2.92871 1.97669 4.852
182 1 0.0519528 -17.5202 0.388459 7.92588 4.11804 2.6708 1.88351 4.85989
183 1 0.0466771 -18.6149 0.364407 6.87914 4.00131 2.59891 1.65131 5.15313
184 1 0.0437876 -17.064 0.383115 6.27512 4.25567 2.84437 1.84606 4.48135
185 1 0.0480908 -17.7878 0.389785 7.25988 4.28906 2.75642 1.97802 5.2181
186 1 0.0374117 -18.2184 0.357347 5.22452 4.08643 3.00632 1.60324 4.57162
187 1 0.0470605 -17.4688 0.364854 5.51052 4.36847 2.82228 1.6784 4.605
188 1 0.0540446 -16.421 0.368196 5.85473 4.25796 3.07507 1.70442 4.93767
189 1 0.0450672 -18.9197 0.347281 6.80077 4.49784 3.08692 1.79924 5.58667
190 1 0.0573003 -16.2162 0.376688 7.04473 4.01999 2.71381 1.78809 3.92575
191 1 0.0537102 -15.6326 0.398601 7.14985 3.89697 3.2724 2.08912 3.6672
192 1 0.0577738 -17.4703 0.372298 6.81811 4.47306 2.83071 1.7672 5.03744
193 1 0.063336 -16.6151 0.37503 6.64303 4.34924 2.809 1.79466 4.35297
194 1 0.0441818 -19.8081 0.352878 6.75884 4.34514 2.58171 1.61671 5.03054
195 1 0.0433433 -18.6486 0.367268 6.58045 4.34524 2.70908 1.75813 4.53401
196 1 0.0408517 -18.2194 0.345209 6.35299 3.93334 2.77764 1.67335 4.12063
197 1 0.0796507 -5.99151 1 11.0494 7.56418 4.38136 2.63045 4.91751
198 1 0.0535042 -18.5388 0.361827 7.18515 4.38906 2.8549 1.82036 5.17519
199 1 0.0359483 -21.164 0.3273 6.35508 4.43826 2.58712 1.51851 5.19841
200 1 0.0433972 -17.8029 0.374748 6.25976 4.09418 3.30621 1.93771 4.65981
201 1 0.0446436 -15.3589 0.588428 12.9541 6.9638 3.78352 2.52043 5.28149
202 1 0.0504555 -15.2652 0.563628 12.1298 6.08167 3.58486 2.57515 5.08946
203 1 0.0485843 -15.5333 0.554792 12.2105 6.11924 3.58179 2.70751 5.42784
204 1 0.0425821 -18.0479 0.357638 6.8117 3.97622 2.32994 1.62707 4.23886
205 1 0.0386623 -19.0618 0.340519 6.12653 3.93054 2.54185 1.5594 4.39727
206 1 0.05458 -18.2517 0.362384 6.82457 4.46129 2.86593 1.78555 4.95902
207 1 0.0433692 -20.4238 0.373111 5.99637 4.72815 2.75487 1.65427 5.80736
208 1 0.0425568 -21.5079 0.354749 6.06872 4.95695 2.63013 1.55042 6.41098
209 1 0.0878936 -4.87569 1 8.71295 7.19444 4.29899 2.38119 4.40626
210 1 0.0626923 -16.5391 0.385547 6.81355 4.56656 3.10175 1.93466 4.76815
211 1 0.0538762 -17.2234 0.341857 7.14182 4.12632 2.95491 1.78365 4.63815
212 1 0.0579539 -16.9203 0.349456 6.23558 4.44739 3.18683 1.74954 4.98766
213 1 0.0593612 -17.9456 0.339691 6.28575 4.73016 2.96488 1.62884 5.58854
214 1 0.0524305 -20.3486 0.34871 7.88167 4.81559 2.8675 1.66596 6.41473
215 1 0.0578557 -16.3569 0.358393 7.40716 4.47151 3.2514 2.1119 4.84586
216 1 0.0743742 -13.5911 0.407812 5.74159 4.74439 3.63494 2.10947 5.26456
217 1 0.0517828 -15.0444 0.402938 6.03194 4.26499 3.7174 2.09553 4.79175
218 1 0.0307743 -20.956 0.338228 6.43883 3.92737 2.99765 1.64285 5.53063
219 1 0.0537851 -19.2831 0.351721 6.67695 4.72465 3.17655 1.70937 6.35834
220 1 0.0741119 -14.5338 0.372394 6.91941 3.81989 2.90653 1.81544 3.91604
221 1 0.0587915 -15.183 0.385319 5.899 4.28409 3.29154 1.92386 3.53425
222 1 0.059747 -16.6282 0.375296 7.00023 4.56721 3.04048 2.01151 4.13859
223 1 0.0465647 -17.2968 0.364198 7.13084 4.0066 3.10468 1.96127 4.06479
224 1 0.0549779 -15.4201 0.374439 5.66066 4.33404 3.62598 1.93016 3.99667
225 1 0.0583772 -17.4041 0.349721 6.16153 4.59485 3.0856 1.72605 4.87146
226 1 0.0604691 -15.0789 0.3893 5.95673 4.47219 3.62631 2.09497 3.58645
227 1 0.067813 -16.2965 0.341611 6.33619 4.27769 3.16165 1.71621 4.79352
228 1 0.0474107 -19.3981 0.371314 7.26677 4.64044 2.93651 1.89254 5.26859
229 1 0.0672613 -16.4707 0.383316 6.58989 4.64192 3.30336 1.9972 4.88949
230 1 0.0567758 -18.6028 0.357613 6.7971 4.42615 2.91203 1.6967 5.83321
231 1 0.0580668 -15.9127 0.395678 6.32855 4.66042 3.81163 2.28746 3.87079
232 1 0.0531268 -20.907 0.352899 6.47485 5.28334 2.85661 1.54465 7.49689
